Keyword Phrase,"Category (R for relevant, D for design specific, I for irrelevant and B for branded, S for Spanish, O for Outlier)",ABA Total Click Share,ABA Total Conv. Share,Keyword Sales,Cerebro IQ Score,Relevancy,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Title Density,Organic,Sponsored Product,Amazon Recommended,Amazon Choice,Highly Rated,Sponsored Brand Header,Sponsored Brand Video,Top Rated From Our Brand,Trending Now,Sponsored Rank (avg),Sponsored Rank (count),Amazon Recommended Rank (avg),Amazon Recommended Rank (count),B00O64QJOC,B08PH9Y6QS,B08KHD615K,B0D4LG7CRK,B0CSXXWMBC,B0C88J6M4X,B08543W8SH,B0DF1W28C5,B0F5PLRJ3Q,B0FC21BN9V
baby changing pad covers,,29.2,,7,227,0,454,3,0.54,0.45,0.67,131,2000,8,4,1,0,0,0,0,1,1,0,0,0,0,0,0,34,161,12,115,115,22,24,108,241,275
leander matty changing pad,,84.4,,1,1693,2,452,-7,0.67,0.55,0.88,193,267,8,0,1,1,1,0,0,0,1,0,0,10,7,328,1,24,55,25,18,18,22,41,11,7,4
hatch scale changing pad,,94.4,100,3,2392,0,452,-16,0.65,0.59,0.71,84,189,8,0,1,1,0,0,0,1,1,0,0,13,4,0,0,18,29,32,113,113,28,27,16,20,12
pink changing pad,,36.9,40,1,448,2,448,-8,,,,115,1000,8,1,1,1,1,0,0,0,1,0,0,9,4,198,1,103,117,68,46,46,2,64,20,3,27
large changing pad,,37.5,16.7,6,11,3,447,-2,0.91,0.63,1.23,139,40000,8,0,1,1,1,0,0,1,1,0,0,9,6,140,7,8,12,20,7,7,19,22,34,10,36
waterproof diaper changing pad,,25.4,8.3,10,224,2,447,-10,0.9,0.62,1.1,175,2000,8,1,1,1,1,0,0,0,1,0,0,19,4,113,6,1,83,59,20,20,28,5,13,16,18
changing table top,,38.8,,-,883,5,447,-11,0.77,0.55,1.07,193,506,8,3,1,1,1,0,0,0,1,0,0,8,1,291,2,17,5,1,12,12,3,25,7,11,8
skip hop baby changing pad,,88.1,44.4,3,943,3,445,-13,0.53,0.48,0.71,109,472,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,95,22,17,17,24,85,4,6,3
changing pad keekaroo,,78.6,100,1,1271,1,445,-9,0.52,0.42,0.77,143,350,8,0,1,1,0,0,0,1,1,0,0,17,5,0,0,23,45,19,38,38,27,31,13,21,6
infant changing table,,36.6,50,3,111,1,445,-1,1.14,0.56,1.55,123,4000,8,1,1,0,1,0,0,0,0,0,0,0,0,178,1,128,41,7,119,119,19,85,159,66,113
munchkin diaper changing pad,,88.2,87.5,10,907,2,441,-21,0.88,0.64,1.09,128,486,8,0,1,0,1,0,0,0,1,0,0,0,0,328,1,1,23,20,33,33,27,7,10,70,38
organic changing pad,,60.4,,4,775,3,441,-9,0.98,0.7,1.09,199,569,8,2,1,1,1,0,0,0,1,0,0,28,6,197,3,52,13,6,24,24,1,58,9,23,83
changing pad with cover,,32.7,,5,44,8,440,-13,0.68,0.51,0.97,190,10000,8,1,1,1,1,0,0,1,1,0,0,12,7,66,8,9,7,2,4,4,5,1,10,6,64
changing,,37.2,,1,44,4,438,-13,0.67,0.48,0.82,239,10000,8,47,1,1,1,0,0,1,1,0,0,24,4,135,3,19,8,3,12,12,5,1,17,62,27
keababies changing pad,,84.6,25,2,1136,2,433,-8,0.52,0.48,0.75,104,381,8,0,1,1,0,0,0,1,0,0,0,14,6,0,0,31,98,41,6,6,49,54,74,35,56
kids foam mat,,25.9,16.7,1,87,1,433,-11,0.83,0.55,0.97,204,5000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,15,-,-,-
changing pad with scale,,55.1,25,-,1598,0,433,-10,1.04,0.85,1.23,188,271,8,0,1,1,0,0,0,1,0,0,0,21,4,0,0,12,32,10,76,76,21,70,27,42,24
dresser changing pad,,32.3,50,-,431,7,431,-7,0.62,0.52,0.87,111,1000,8,0,1,1,1,0,0,1,1,0,0,10,7,246,6,2,3,8,17,17,4,10,9,6,1
changing topper,,45.7,,1,703,4,431,-15,0.6,0.48,0.85,164,613,8,6,1,1,1,0,0,1,0,0,0,5,1,121,3,5,12,8,17,17,3,10,9,-,26
avocado changing pad cover,,50,,1,1907,2,429,-23,,,,72,225,8,0,1,1,1,0,0,0,0,0,0,12,2,239,2,72,-,31,5,5,-,-,48,-,-
baby changing topper for dresser,,52.9,,8,1095,6,428,-12,0.81,0.52,1.14,118,391,8,0,1,1,0,0,0,1,1,0,0,7,5,0,0,8,25,3,9,9,2,12,7,27,24
diaper mat,,40.7,26.7,8,143,1,428,-10,0.69,0.55,1.1,170,3000,8,1,1,1,1,0,0,0,1,0,0,14,4,7,1,16,147,36,45,45,92,5,101,32,89
blissful diary changing pad,,47.9,25,1,2173,5,426,-11,0.58,0.43,0.73,125,196,8,0,1,1,1,0,0,1,1,0,0,9,5,14,3,43,30,5,2,2,7,25,1,22,13
cambiador bebe,,22.7,,1,142,3,426,-11,,,,170,3000,8,0,1,1,1,0,0,1,1,0,0,13,4,144,3,41,1,16,29,29,44,18,2,23,9
travel changing table,,55.6,50,2,85,0,426,-11,0.96,0.61,1.48,167,5000,8,0,1,1,0,0,0,0,0,0,0,19,2,0,0,66,151,67,97,97,186,12,106,62,160
woddle smart changing pad,,97.4,50,2,2019,1,424,1,0.73,0.42,0.83,88,210,8,0,1,1,0,0,0,1,0,0,0,3,2,0,0,11,31,30,80,80,23,32,15,19,3
hatch changing table,,88,,-,1843,1,424,-17,0.81,0.47,1.16,52,230,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,-,-,15,15,-,-,11,-,46
waterproof changing mat,,27.1,10,7,211,1,421,-10,0.76,0.56,1.09,200,2000,8,1,1,1,1,0,0,1,1,0,0,26,2,185,2,25,153,81,63,63,57,8,16,21,32
kekaroobaby changing pad,,84.6,100,2,1167,1,419,61,0.68,0.46,0.75,132,359,8,0,1,1,0,0,0,1,1,0,0,25,6,0,0,21,60,12,28,28,36,38,15,11,4
infant changing pad,,32.1,37.5,9,84,6,419,-17,0.91,0.61,1.14,197,5000,8,1,1,1,1,0,0,1,1,0,0,17,7,125,8,2,1,6,16,16,4,3,5,40,38
changing pads for changing table,,32.5,18.2,5,69,5,415,9,1.75,1.23,2.42,152,6000,8,0,1,1,0,0,0,0,1,0,0,9,7,0,0,11,3,10,8,8,9,2,19,14,30
chnaging pad,,39.4,,1,10,4,415,-6,1.03,0.8,1.28,169,40000,8,0,1,1,1,0,0,1,1,0,0,6,5,395,1,2,4,11,33,33,10,5,25,13,7
changing table for dresser,,31.9,50,1,83,8,414,-10,0.75,0.51,1.03,154,5000,8,0,1,1,0,0,0,1,1,0,0,15,3,0,0,5,32,4,6,6,2,19,1,3,7
babyletto changing pad,,89.6,100,2,1081,4,414,-14,0.56,0.53,0.68,137,383,8,0,1,1,1,0,0,0,1,0,0,7,3,285,2,2,10,8,17,17,6,14,7,19,96
changing table tray,,50,,-,414,0,414,-5,0.6,0.53,0.67,132,1000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,-,42,85,85,13,36,41,-,-
keekaroo peanut changer baby vanilla– the original made in usa easy-to-clean changing pad and the on,,100,100,2,4000,2,412,-11,0.91,0.64,1.02,31,103,8,0,1,1,0,0,0,0,1,0,0,10,1,0,0,24,-,14,54,54,-,64,5,9,12
pink changing table,,40.7,,3,82,1,412,-10,0.86,0.45,1.13,124,5000,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,-,-,15,-,132,136,-
changing pad cover wipeable,,47.1,16.7,1,669,1,405,-7,0.71,0.55,0.96,123,605,8,0,1,1,0,0,0,0,1,0,0,15,4,0,0,15,107,37,69,69,43,30,3,11,28
diaper change mat,,33.3,,6,203,1,405,-11,0.86,0.57,1.05,152,2000,8,0,1,1,0,0,0,1,1,0,0,12,1,0,0,13,95,30,132,132,92,4,58,10,62
baby changing table topper,,31.6,,-,981,5,403,-6,0.75,0.5,0.9,164,411,8,0,1,1,1,0,0,1,1,0,0,13,6,209,7,6,9,1,14,14,2,11,8,-,23
wipe down changing pad,,51.6,,-,703,4,403,-18,0.56,0.45,0.89,162,573,8,0,1,1,1,0,0,1,1,0,0,6,6,198,5,9,51,24,15,15,28,18,4,5,1
diaper changer,,32.4,,1,489,3,401,-8,0.92,0.63,1.3,113,820,8,7,1,1,1,0,0,0,1,0,0,10,1,180,2,14,22,17,27,27,5,6,1,90,18
waterproof changing pads,,36,100,7,57,3,400,-23,0.74,0.56,0.95,167,7000,8,1,1,1,0,0,0,0,0,0,0,6,1,0,0,2,78,53,35,35,21,4,9,11,18
changing pad for bed,,32.4,14.3,2,100,3,398,-14,0.8,0.62,1.04,149,4000,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,30,8,9,14,14,2,21,12,10,34
wipeable changing pad for dresser,,54,,1,702,4,394,-20,0.8,0.6,1.03,133,561,8,1,1,1,0,0,0,0,1,0,0,8,6,0,0,4,40,30,32,32,19,12,1,3,2
changing table mattress pad,,43.9,33.3,4,397,5,393,-8,0.83,0.39,1.19,190,991,8,0,1,1,1,0,0,0,1,0,0,19,7,240,3,13,2,3,5,5,11,1,16,20,27
foam changing pad,,,,1,729,5,393,-9,0.59,0.44,0.74,151,539,8,4,1,1,1,0,0,1,1,0,0,11,7,154,7,22,4,17,5,5,12,1,18,19,6
ava and oliver changing mat,,75.6,,2,2091,0,389,-18,0.64,0.45,0.89,78,186,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,111,136,57,40,40,37,104,18,10,79
blissful diary changing pad cover,,55.8,50,3,1588,3,389,-19,0.66,0.54,0.99,182,245,8,1,1,1,1,0,0,1,1,0,0,17,3,25,3,94,143,30,5,5,78,-,3,84,-
baby diaper changing mat,,28.9,20,4,195,1,389,-17,0.78,0.54,1.02,158,2000,8,4,1,1,1,0,0,1,1,0,0,42,5,20,1,5,88,35,40,40,34,24,14,45,73
silicone baby changing pad,,,,-,808,2,387,-23,0.79,0.44,1.04,78,479,8,0,1,1,0,0,0,0,1,0,0,10,2,0,0,38,36,37,19,19,20,26,4,13,2
portable changing mat baby,,42.2,,4,480,0,387,4,0.78,0.45,1.06,103,806,8,0,1,1,0,0,0,1,1,0,0,12,1,0,0,119,209,15,163,163,178,203,85,61,159
baby changing mat waterproof,,33.3,25,6,386,2,386,-4,0.7,0.51,0.9,168,1000,8,0,1,1,1,0,0,1,1,0,0,40,4,33,1,14,116,37,28,28,29,5,10,7,41
change pad,,36.8,50,6,10,6,384,-11,0.79,0.56,1.11,165,40000,8,0,1,1,1,0,0,1,1,0,0,28,4,78,7,1,2,4,20,20,8,3,21,9,13
mallify,,64.5,,1,12800,2,384,-13,1.37,0.86,1.81,2,30,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,3
organic cotton changing pad cover,,40.4,,12,1000,0,382,-16,0.95,0.69,1,95,382,8,5,1,1,1,0,0,0,0,0,0,10,1,34,1,74,246,65,-,-,12,232,130,-,-
bumbo changing pad cover,,53.9,,3,995,0,380,4,,,,142,382,8,0,1,1,0,0,0,0,1,0,0,14,1,0,0,30,90,47,75,75,69,54,13,-,287
hatch changing pad scale,,91.2,,1,9718,1,379,-7,0.89,0.51,1.31,25,39,8,0,1,1,0,0,0,0,0,0,0,7,1,0,0,0,20,-,22,22,19,-,12,-,-
black changing pad,,61.5,50,1,76,0,379,-5,0.59,0.48,0.75,154,5000,8,0,1,1,0,0,0,1,1,0,0,4,5,0,0,64,82,50,14,14,42,56,30,12,41
organic changing pad for baby,,60,83.3,-,-,3,377,-,,,,36,0,8,0,1,1,0,0,0,0,1,0,0,27,4,0,0,46,27,4,19,19,1,34,6,24,72
尿布台,,37.1,100,-,8021,2,377,-21,,,,45,47,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,7,-,-,15,-,-,-,-
dresser top changing pad,,30.9,14.3,3,617,9,373,-,0.66,0.52,1.1,116,605,8,0,1,1,1,0,0,1,1,0,0,9,5,153,10,1,10,2,3,3,4,9,5,7,6
delta children changing pad,,,,5,785,3,373,-2,,,,146,475,8,0,1,1,1,0,0,0,1,0,0,13,4,6,1,31,18,14,17,17,6,1,8,24,76
changing pad 27 x 16,,41.9,,3,1113,4,373,-3,0.76,0.53,0.9,146,335,8,1,1,1,1,0,0,0,1,0,0,3,2,328,2,16,17,5,9,9,7,10,12,54,28
skip hop oat changing pad,,97.4,75,1,2514,1,372,-13,,,,76,148,8,0,1,1,0,0,0,0,1,0,0,9,4,0,0,26,44,30,21,21,37,39,13,19,3
washable changing pad,,25,50,1,62,0,370,-14,0.97,0.7,1.4,101,6000,8,0,1,1,1,0,0,0,0,0,0,14,6,132,6,44,104,12,18,18,11,59,34,13,22
changing diaper pad,,,,4,74,5,368,-5,0.71,0.44,1.01,134,5000,8,0,1,1,0,0,0,1,1,0,0,14,4,0,0,2,3,8,41,41,14,1,11,24,9
extra large changing pad,,37.5,,2,9,2,368,-9,0.82,0.5,1.13,189,40000,8,0,1,1,1,0,0,0,1,0,0,16,1,332,2,113,39,15,16,16,28,8,27,5,26
diaper change,,,,1,18,4,368,-8,0.93,0.68,1.12,154,20000,8,2,1,0,1,0,0,0,1,0,0,0,0,236,2,3,14,2,46,46,9,8,12,24,25
narrow changing pad,,,,-,902,3,367,42,,,,144,407,8,0,1,1,1,0,0,1,1,0,0,15,7,336,2,31,14,21,6,6,12,33,9,20,15
baby changing pad for dresser top,,,,3,556,7,363,43,0.67,0.42,0.72,150,653,8,0,1,1,0,0,0,1,1,0,0,5,4,0,0,2,6,1,11,11,3,12,4,7,5
changing pad mattress,,,,2,182,7,363,5,0.81,0.53,1,82,2000,8,0,1,1,1,0,0,1,1,0,0,5,3,235,3,7,2,5,9,9,4,3,18,11,27
baby diaper changing station,,22.2,,3,182,1,363,-18,0.79,0.58,1.25,129,2000,8,2,1,0,1,0,0,0,0,0,0,0,0,57,1,111,130,8,152,152,27,273,121,65,72
jool baby waterproof baby changing pad,,92.3,40,9,1011,5,361,-24,0.69,0.49,0.73,87,357,8,1,1,1,0,0,0,1,1,0,0,3,1,0,0,8,167,2,23,23,5,22,4,11,3
leather changing mat,,46.2,33.3,3,1570,0,361,-7,0.51,0.42,0.69,162,230,8,3,1,1,1,0,0,1,1,0,0,12,3,56,1,119,164,120,109,109,134,136,18,14,94
newborn changing pad,,22.2,,4,120,4,360,-9,1.08,0.58,1.39,108,3000,8,0,1,1,1,0,0,1,1,0,0,4,3,188,1,7,23,3,29,29,5,14,4,24,19
contoured changing pad for baby,,,,4,-,6,358,-,,,,0,0,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,11,1,5,5,4,3,15,16,27
skip hop pronto changing pad,,92.9,50,-,1121,1,353,-11,,,,75,315,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29,73,37,20,20,25,49,8,34,11
skip hop changing station,,76,,1,1157,0,353,8,0.72,0.44,1.04,145,305,8,0,1,1,0,0,0,0,0,0,0,22,1,0,0,31,93,27,15,15,32,50,13,-,-
universal changing table topper,,,,1,1950,2,353,-10,0.64,0.39,0.86,111,181,8,2,1,1,0,0,0,1,1,0,0,8,6,0,0,24,51,9,20,20,5,16,34,-,-
changing station pad,,36.9,,1,176,4,351,-16,0.77,0.5,1.09,227,2000,8,0,1,1,1,0,0,1,1,0,0,8,6,112,8,6,18,1,11,11,12,2,16,5,81
diaper changing pad wipeable,,34.3,,4,488,4,351,-,,,,91,719,8,0,1,1,1,0,0,0,1,0,0,10,4,181,3,2,46,51,31,31,22,11,1,5,3
changing pad silicone,,44,,4,703,3,351,54,0.77,0.4,0.92,135,499,8,0,1,1,0,0,0,0,1,0,0,17,6,0,0,28,36,22,16,16,17,31,4,5,1
baby scale changing pad,,64,,1,889,0,351,-18,0.78,0.52,0.99,184,395,8,0,1,1,0,0,0,1,1,0,0,23,3,0,0,49,56,24,36,36,19,-,16,23,15
silicone diaper changing pad,,,,-,737,3,347,-14,,,,89,471,8,0,1,1,1,0,0,0,0,0,0,13,3,151,1,23,73,18,24,24,8,20,3,32,2
wipable changing pad,,41.9,,1,481,4,346,10,1.1,0.88,1.4,85,719,8,0,1,1,1,0,0,0,0,0,0,2,3,127,3,7,48,55,50,50,59,19,2,4,1
diaper changing table pad,,,,1,172,5,344,-7,0.92,0.68,1.24,147,2000,8,4,1,1,1,0,0,1,1,0,0,7,6,130,5,3,2,10,18,18,4,1,11,8,23
joolbaby changing pad,,,,-,942,4,342,-31,,,,57,363,8,0,1,1,1,0,0,1,1,0,0,7,1,33,1,14,32,1,17,17,7,31,20,8,4
mini crib changing pad,,,,1,958,0,342,-7,,,,99,357,8,0,1,1,0,0,0,0,0,0,0,8,2,0,0,42,13,12,26,26,11,10,33,16,23
non slip changing pad for dresser,,28.1,50,1,714,7,340,-4,,,,144,476,8,0,1,1,0,0,0,0,1,0,0,13,7,0,0,1,3,2,10,10,6,19,4,9,8
serta changing pad,,,,4,1435,3,340,-24,0.83,0.57,1.22,83,237,8,0,1,1,0,0,0,0,1,0,0,3,3,0,0,10,8,12,17,17,7,4,14,15,20
skip hop wipe clean changing pad,,83.3,50,3,1123,2,339,-20,0.53,0.37,1,105,302,8,0,1,1,0,0,0,0,1,0,0,2,2,0,0,10,67,26,36,36,31,132,4,19,2
changing pad -cover,,,,1,442,1,337,436,,,,12,762,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,52,2,51,51,34,33,43,-,97
changing pad for dresser top,,37.5,25,1,553,9,337,5,0.77,0.58,0.97,111,609,8,3,1,1,0,0,0,1,1,0,0,4,6,0,0,1,8,3,2,2,6,10,5,7,9
keekaroo changing table,,,,1,7444,1,335,-,,,,24,45,8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,93,57,16,175,175,90,-,3,-,129
leather changing pad,,41.9,,1,743,3,333,-9,0.56,0.41,0.65,83,448,8,0,1,1,1,0,0,1,1,0,0,14,2,31,2,0,80,149,70,70,93,61,2,5,50
mueble para cambiar pañales de bebe,,44,,-,1914,2,333,-22,1.09,0.85,1.43,119,174,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,173,173,-,35,-,-,-
skip hop baby changing pad nursery style wipe-clean contoured with cushioned foam oat,,96.8,77.8,7,1919,3,332,-31,,,,65,173,8,0,1,1,0,0,0,0,1,0,0,3,2,0,0,6,22,19,27,27,13,16,2,32,5
water proof changing pad,,,,3,41,5,330,-17,0.91,0.55,1.28,116,8000,8,0,1,1,1,0,0,1,0,0,0,11,4,179,7,1,27,23,31,31,14,7,5,8,6
changing pad for table,,,,5,55,8,328,494,,,,128,6000,8,0,1,1,0,0,0,1,1,0,0,19,6,0,0,3,1,5,9,9,7,4,15,8,10
green changing table,,48.1,,-,47,1,326,-8,,,,125,7000,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-,-,20,20,122,-,13,-,-
skip hop changing table,,88,,-,1016,3,325,-34,,,,115,320,8,0,1,1,0,0,0,0,1,0,0,3,1,0,0,17,89,41,20,20,79,-,2,9,3
peanut changing table,,,,-,1128,2,325,-30,0.8,0.47,1.05,100,288,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,83,-,5,15,15,29,-,3,-,11
toddler changing mat,,,,2,330,4,323,-15,0.75,0.49,0.84,188,980,8,0,1,1,1,0,0,0,1,0,0,9,3,283,4,34,74,19,9,9,27,2,12,6,45
vegan leather baby changing pad,,44.8,,3,1238,2,323,70,,,,112,261,8,3,1,1,1,0,0,1,1,0,0,3,2,33,2,56,53,101,15,15,45,36,2,1,54
changing table cushion,,,,5,396,6,319,10,,,,203,805,8,0,1,1,1,0,0,1,1,0,0,13,6,300,2,7,4,1,15,15,3,2,12,6,32
dresser top changing table,,56,100,1,319,5,319,126,,,,24,1000,8,0,1,1,0,0,0,1,0,0,0,5,1,0,0,11,36,2,9,9,3,57,10,20,5
cambiador de silicona para bebes,,,,1,1477,4,319,-10,0.72,0.4,1.01,100,216,8,0,1,0,1,0,0,0,1,0,0,0,0,321,2,23,31,19,8,8,11,41,6,17,1
davinci changing pad,,,,3,769,4,319,-6,1.49,1.06,1.84,160,415,8,0,1,1,1,0,0,1,1,0,0,19,4,450,1,2,11,6,41,41,3,5,19,12,50
changing pad pink,,,,1,319,2,319,34,,,,52,1000,8,0,1,1,0,0,0,1,1,0,0,7,6,0,0,83,120,26,82,82,1,66,36,5,28
davinci kalani dresser,,79.3,,-,1688,2,319,-17,0.49,0.32,0.75,112,189,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-,-,-,-,-,-
munchkin secure grip waterproof diaper changing pad 16x31,,,,9,1152,7,318,-5,0.85,0.8,0.9,96,276,8,0,1,1,0,0,0,0,1,0,0,12,2,0,0,1,3,16,5,5,8,4,9,11,69
keekaroo dupe,,,,-,2255,3,318,172,,,,56,141,8,0,1,1,0,0,0,0,0,0,0,3,4,0,0,0,-,-,15,15,20,-,3,-,8
kangaroo changing pad,,80.6,,-,1056,2,318,-10,0.65,0.55,1.07,112,301,8,0,1,1,0,0,0,0,1,0,0,7,3,0,0,37,12,10,21,21,15,33,6,14,3
pad for changing table,,40,50,2,53,5,316,1,,,,107,6000,8,0,1,1,0,0,0,1,1,0,0,11,6,0,0,5,2,3,12,12,4,1,18,10,15
plastic changing pad cover,,,,5,677,2,316,28,,,,69,467,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,31,77,36,57,57,72,3,6,22,288
ubbi foam changing pad,,96.9,,-,1117,5,314,44,,,,63,281,8,0,1,1,0,0,0,0,1,0,0,17,1,0,0,20,39,19,9,9,10,7,6,15,4
wipe clean baby changing pad,,,,1,-,4,314,-,,,,12,0,8,0,1,1,1,0,0,0,0,0,0,8,2,80,2,9,79,24,32,32,25,51,3,7,1
woddle baby changing pad,,,,-,770,2,314,3,0.58,0.4,0.89,93,408,8,0,1,1,0,0,0,1,1,0,0,5,2,0,0,11,42,23,39,39,16,6,15,12,3
changing pad non slip,,,,-,306,7,306,53,,,,63,1000,8,0,1,1,1,0,0,1,1,0,0,19,4,180,2,1,5,2,6,6,3,10,11,12,8
"munchkin secure grip baby diaper changing pad for dresser, waterproof and wipeable, contoured, stand",,,,-,887,7,306,-25,,,,58,345,8,0,1,1,0,0,0,0,1,0,0,4,3,0,0,1,6,16,11,11,7,8,2,3,5
changing pad toddler,,,,1,102,5,306,74,,,,74,3000,8,0,1,1,1,0,0,0,1,0,0,14,4,252,1,5,9,11,12,12,4,2,1,10,13
chaning pad,,,,-,8,5,306,3,,,,153,40000,8,0,1,1,0,0,0,1,1,0,0,16,3,0,0,3,2,6,14,14,9,4,17,15,12
ava oliver vegan leather baby changing mat,,,,-,3588,3,305,12,0.77,0.47,0.96,40,85,8,0,1,1,0,0,0,1,1,0,0,6,1,0,0,0,49,-,-,-,39,-,4,3,-
